0.522, 0.351, 0.089, 0.260, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0021198786, 0.0060335010, 0.0834576258, 0.1693890019, 0.2389999926 *   0
0.446, 0.933, 0.871, 0.060, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0108731636, 0.1703462332, 0.0268396141, 0.0149409941, 0.2769999951 *   0
0.956, 0.020, 0.070, 0.592, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0003961664, 0.0002730336, 0.0088907995, 0.4684399857, 0.0220000148 *   0
0.777, 0.600, 0.468, 0.248, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0270545191, 0.0820362854, 0.1240092077, 0.1553999927, 0.1114999950 *   0
0.172, 0.277, 0.522, 0.229, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0028476345, 0.0095874507, 0.0113869164, 0.0621780013, 0.4139999971 *   0
0.499, 0.462, 0.446, 0.574, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0295093273, 0.0219006505, 0.0638590282, 0.1342310004, 0.2504999936 *   0
0.283, 0.653, 0.746, 0.463, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0319146011, 0.0370154230, 0.0234694730, 0.0491004991, 0.3585000038 *   0
0.239, 0.342, 0.002, 0.762, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0000622844, 0.0000194536, 0.0407872616, 0.0786309967, 0.3805000037 *   0
0.693, 0.091, 0.021, 0.139, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0000920404, 0.0005701210, 0.0308693387, 0.3149685091, 0.1534999907 *   0
0.024, 0.893, 0.199, 0.980, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0020898344, 0.0000426496, 0.0085835161, 0.0012839999, 0.4879999999 *   0
0.912, 0.269, 0.572, 0.689, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0483428656, 0.0218209441, 0.0525001875, 0.3333360030, 0.0439999998 *   0
0.869, 0.040, 0.937, 0.041, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0006676875, 0.0156173721, 0.0010949404, 0.4171200089, 0.0654999912 *   0
0.318, 0.459, 0.270, 0.817, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0160988780, 0.0036059917, 0.0532761263, 0.0860189983, 0.3410000056 *   0
0.921, 0.716, 0.391, 0.203, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0261707071, 0.1027490360, 0.2007982677, 0.1307819911, 0.0394999981 *   0
0.369, 0.137, 0.667, 0.608, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0102505296, 0.0066088946, 0.0084170740, 0.1592234958, 0.3155000061 *   0
0.479, 0.668, 0.370, 0.172, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0101815093, 0.0490133102, 0.1007911771, 0.0795140045, 0.2604999989 *   0
0.759, 0.391, 0.311, 0.783, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.0361335536, 0.0100140249, 0.1022369232, 0.2311155000, 0.1204999983 *   0
