0.077, 0.728, 0.972, 0.993, 0.841, 0.405, 0.309, 0.388, 0.292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0620433939, 0.0620433939, 0.0877426091, 0.1240867878, 0.1754852182, 0.2481735756, 0.3509704364, 0.4963471512, 0.7019408729, 0.1206566282 *   0
0.005, 0.260, 0.475, 0.925, 0.337, 0.202, 0.897, 0.330, 0.043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0624980724, 0.0624980724, 0.0883856215, 0.1249961447, 0.1767712431, 0.2499922894, 0.3535424862, 0.4999845788, 0.7070849723, 0.0078539007 *   0
0.302, 0.639, 0.431, 0.593, 0.019, 0.666, 0.917, 0.732, 0.606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0555984929, 0.0555984929, 0.0786281427, 0.1111969858, 0.1572562854, 0.2223939716, 0.3145125708, 0.4447879432, 0.6290251416, 0.4567874150 *   0
0.014, 0.361, 0.203, 0.529, 0.366, 0.463, 0.004, 0.290, 0.800, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0624848878, 0.0624848878, 0.0883669757, 0.1249697756, 0.1767339515, 0.2499395511, 0.3534679029, 0.4998791022, 0.7069358059, 0.0219893768 *   0
0.348, 0.999, 0.519, 0.953, 0.070, 0.975, 0.568, 0.446, 0.694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0533923400, 0.0533923400, 0.0755081713, 0.1067846800, 0.1510163427, 0.2135693600, 0.3020326854, 0.4271387199, 0.6040653708, 0.5198173292 *   0
0.633, 0.561, 0.818, 0.597, 0.575, 0.179, 0.799, 0.104, 0.545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0340673791, 0.0340673791, 0.0481785496, 0.0681347582, 0.0963570992, 0.1362695165, 0.1927141983, 0.2725390329, 0.3854283967, 0.8383852945 *   0
0.262, 0.109, 0.836, 0.062, 0.315, 0.023, 0.191, 0.565, 0.512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0572814016, 0.0572814016, 0.0810081350, 0.1145628032, 0.1620162700, 0.2291256063, 0.3240325400, 0.4582512127, 0.6480650799, 0.4000291293 *   0
0.959, 0.246, 0.594, 0.746, 0.594, 0.593, 0.265, 0.547, 0.663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0040223845, 0.0040223845, 0.0056885107, 0.0080447689, 0.0113770214, 0.0160895379, 0.0227540427, 0.0321790758, 0.0455080854, 0.9979268652 *   0
0.240, 0.116, 0.109, 0.933, 0.748, 0.670, 0.752, 0.345, 0.245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0581110306, 0.0581110306, 0.0821814075, 0.1162220611, 0.1643628151, 0.2324441222, 0.3287256302, 0.4648882445, 0.6574512604, 0.3681245449 *   0
0.931, 0.144, 0.350, 0.476, 0.406, 0.458, 0.312, 0.468, 0.773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 * 0.0067608047, 0.0067608047, 0.0095612217, 0.0135216094, 0.0191224434, 0.0270432188, 0.0382448868, 0.0540864375, 0.0764897735, 0.9941320984 *   0
