0.077, 0.728, 0.972, 0.993, 0.841, 0.405, 0.309, 0.388, 0.292, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.7092407070, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000336, 0.6989833594, 0.0916508743, 0.0000000000, 0.0000000000 *   0
0.381, 0.236, 0.324, 0.712, 0.939, 0.153, 0.724, 0.009, 0.305, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.9999957895, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0029018769, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.005, 0.260, 0.475, 0.925, 0.337, 0.202, 0.897, 0.330, 0.043, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.9999997908, 0.0000000000, 0.0000000000, 0.0000298789, 0.0000000000, 0.0000000000, 0.0006460910, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.014, 0.361, 0.203, 0.529, 0.366, 0.463, 0.004, 0.290, 0.800, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000000003, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.207, 0.187, 0.129, 0.250, 0.489, 0.768, 0.681, 0.082, 0.787, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000000001, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.348, 0.999, 0.519, 0.953, 0.070, 0.975, 0.568, 0.446, 0.694, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 0.1478207235, 0.0000000000, 0.0000000000, 0.0000000000, 0.0185602846, 0.0000000000, 0.0018991788, 0.0000000000, 0.9888381782, 0.0000000000 *   0
0.041, 0.431, 0.440, 0.248, 0.622, 0.642, 0.391, 0.488, 0.867, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000009955, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.262, 0.109, 0.836, 0.062, 0.315, 0.023, 0.191, 0.565, 0.512, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000261, 0.0000000000, 0.0000000000 *   0
0.335, 0.659, 0.339, 0.846, 0.617, 0.585, 0.440, 0.363, 0.179, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000857, 0.0000000000, 0.0000000000, 0.0000000000 *   0
0.034, 0.628, 0.727, 0.697, 0.868, 0.842, 0.806, 0.801, 0.591, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5 * 1.0000000000, 0.0000000000, 0.0000000004, 0.0000000007, 0.0000000534, 0.0000011171, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000 *   0
